source_collection,doc_id,doc_timestamp,sample_index,node_id,sample_ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,processed_at
node_data_0v3,node_1_1775448605,2026-04-06T04:09:14.000Z,1,node_1,2026-04-06T04:07:14.000Z,3584332,35.63332,42.82,0,13.65804,86.54989,0.917479,-0.062052,60,
node_data_0v3,node_1_1775448605,2026-04-06T04:09:14.000Z,2,node_1,2026-04-06T04:08:14.000Z,3644332,35.65498,44.14167,0,13.65527,84.45333,0.918375,-0.064087,60,
node_data_0v3,node_1_1775448605,2026-04-06T04:09:14.000Z,3,node_1,2026-04-06T04:09:14.000Z,3704332,35.71332,42.83,0,13.65077,89.44601,0.917792,-0.064087,60,
node_data_0v3,node_1_1775448855,2026-04-06T04:14:14.000Z,0,node_1,2026-04-06T04:10:14.000Z,3764332,35.70998,42.14832,0,13.64733,87.57528,0.916937,-0.062052,60,
node_data_0v3,node_1_1775448855,2026-04-06T04:14:14.000Z,1,node_1,2026-04-06T04:11:14.000Z,3824332,35.75666,43.725,0,13.64387,86.18774,0.916146,-0.06307,60,
node_data_0v3,node_1_1775448855,2026-04-06T04:14:14.000Z,2,node_1,2026-04-06T04:12:14.000Z,3884332,35.88667,42.92667,0,13.64056,85.95276,0.915708,-0.060018,60,
node_data_0v3,node_1_1775448855,2026-04-06T04:14:14.000Z,3,node_1,2026-04-06T04:13:14.000Z,3944332,35.97834,42.24167,0,13.63656,86.23251,0.914521,-0.065104,60,
node_data_0v3,node_1_1775448855,2026-04-06T04:14:14.000Z,4,node_1,2026-04-06T04:14:14.000Z,4004333,36.05333,41.29667,0,13.63394,84.93143,0.91425,-0.06307,60,
node_data_0v3,node_1_1775448915,2026-04-06T04:15:14.000Z,0,node_1,2026-04-06T04:15:14.000Z,4064332,36.09332,42.60834,0,13.63021,85.81237,0.914021,-0.057983,60,
node_data_0v3,node_1_1775449205,2026-04-06T04:19:14.000Z,0,node_1,2026-04-06T04:16:14.000Z,4124333,36.09832,42.44333,0,13.6265,88.27616,0.913292,-0.062052,60,
node_data_0v3,node_1_1775449205,2026-04-06T04:19:14.000Z,1,node_1,2026-04-06T04:17:14.000Z,4184332,36.10332,43.24666,0,13.62396,85.6781,0.913479,-0.06307,60,
node_data_0v3,node_1_1775449205,2026-04-06T04:19:14.000Z,2,node_1,2026-04-06T04:18:14.000Z,4244332,36.02999,43.15668,0,13.61981,88.05541,0.914625,-0.061035,60,
node_data_0v3,node_1_1775449205,2026-04-06T04:19:14.000Z,3,node_1,2026-04-06T04:19:14.000Z,4304332,36.01666,42.78167,0,13.61717,85.01383,0.915917,-0.059001,60,
node_data_0v3,node_1_1775449455,2026-04-06T04:24:14.000Z,0,node_1,2026-04-06T04:20:14.000Z,4364331,36.01167,42.90666,0,13.61373,86.9873,0.915437,-0.061035,60,
node_data_0v3,node_1_1775449455,2026-04-06T04:24:14.000Z,1,node_1,2026-04-06T04:21:14.000Z,4424332,36.01833,41.92001,0,13.61137,85.2834,0.915396,-0.064087,60,
node_data_0v3,node_1_1775449455,2026-04-06T04:24:14.000Z,2,node_1,2026-04-06T04:22:14.000Z,4484331,36.00667,41.80499,0,13.60823,85.69437,0.914375,-0.06307,60,
node_data_0v3,node_1_1775449455,2026-04-06T04:24:14.000Z,3,node_1,2026-04-06T04:23:14.000Z,4544332,35.94334,41.09166,0,13.6053,85.84695,0.913583,-0.065104,60,
node_data_0v3,node_1_1775449455,2026-04-06T04:24:14.000Z,4,node_1,2026-04-06T04:24:14.000Z,4604333,35.89002,41.52167,0,13.60135,86.61906,0.914812,-0.064087,60,
