ts,uptime_ms,temp,hum,rain,batt_v,batt_i,solar_v,solar_i,samples,historical?
2026-04-01T11:12:42.000Z,,28.77,61.39,0,13.42,88.14,13.02,-0.11,60,true
2026-04-01T11:13:42.000Z,,28.76,61.59,0,13.42,84.54,13.02,-0.1,60,true
2026-04-01T11:14:42.000Z,,28.74,61.57,0,13.42,87.86,13.02,-0.1,60,true
2026-04-01T11:15:42.000Z,,28.73,61.47,0,13.42,88.41,13.01,-0.11,60,true
2026-04-01T11:16:42.000Z,,28.74,60.92,0,13.42,88.42,13.01,-0.11,60,true
2026-04-01T11:17:42.000Z,,28.72,61.26,0,13.41,90.26,13.01,-0.1,60,true
2026-04-01T11:18:42.000Z,,28.7,61.09,0,13.41,86.77,13.01,-0.1,60,true
2026-04-01T11:19:42.000Z,,28.73,61.01,0,13.41,90.08,13.01,-0.1,60,true
2026-04-01T11:20:42.000Z,,28.69,61.45,0,13.41,87.16,13.01,-0.11,60,true
2026-04-01T11:21:42.000Z,,28.69,61.69,0,13.41,88.66,13,-0.1,60,true
2026-04-01T11:22:42.000Z,,28.68,61.99,0,13.41,86.23,13,-0.11,60,true
2026-04-01T11:23:42.000Z,,28.66,61.51,0,13.4,89.98,13,-0.1,60,true
2026-04-01T11:24:42.000Z,,28.64,62.09,0,13.4,84.67,13,-0.11,60,true
2026-04-01T11:25:42.000Z,,28.61,62.01,0,13.4,90.55,13,-0.11,60,true
2026-04-01T11:26:42.000Z,,28.6,61.88,0,13.4,88.23,12.99,-0.11,60,true
2026-04-01T11:27:42.000Z,,28.58,61.46,0,13.4,89.53,12.99,-0.11,60,true
2026-04-01T11:28:42.000Z,,28.56,61.51,0,13.39,87.8,12.99,-0.1,60,true
2026-04-01T11:29:42.000Z,,28.55,61.53,0,13.39,89.1,12.99,-0.1,60,true
2026-04-01T11:30:42.000Z,,28.53,61.69,0,13.39,89.29,12.99,-0.1,60,true
2026-04-01T11:31:42.000Z,,28.48,61.48,0,13.39,88.19,12.99,-0.1,60,true
2026-04-01T11:32:42.000Z,,28.46,61.76,0,13.39,87.81,12.98,-0.1,60,true
2026-04-01T11:33:42.000Z,,28.45,61.73,0,13.39,87.23,12.98,-0.11,60,true
2026-04-01T11:34:42.000Z,,28.4,61.82,0,13.39,87.25,12.98,-0.1,60,true
2026-04-01T11:35:42.000Z,,28.37,62.28,0,13.38,86.75,12.98,-0.1,60,true
2026-04-01T11:36:42.000Z,,28.32,62.17,0,13.38,86.65,12.98,-0.11,60,true
2026-04-01T11:37:42.000Z,,28.32,62.18,0,13.38,88.92,12.98,-0.1,60,true
2026-04-01T11:38:42.000Z,,28.3,62.91,0,13.38,88.19,12.98,-0.11,60,true
2026-04-01T11:39:42.000Z,,28.27,62.88,0,13.38,86.87,12.97,-0.11,60,true
2026-04-01T11:40:42.000Z,,28.26,62.91,0,13.38,87.4,12.97,-0.11,60,true
2026-04-01T11:41:42.000Z,,28.24,62.18,0,13.38,85.54,12.97,-0.11,60,true
2026-04-01T11:42:42.000Z,,28.22,62.18,0,13.37,87.02,12.97,-0.1,60,true
2026-04-01T11:43:42.000Z,,28.21,63.51,0,13.37,89.94,12.97,-0.1,60,true
2026-04-01T11:44:42.000Z,,28.17,64.16,0,13.37,87.83,12.97,-0.11,60,true
